location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Delaware,2,NA,NA,NA,2.5371264283006404e-4,7.82055489504824e-4,0.00202007113488248,NA,NA,NA,2.5e-4,7.8e-4,0.002,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
District of Columbia,0,0,0.20130131062055112,0.671693852333062,0,1.360351983898454,4.539165998357843,0,0.2,0.67,0,1,5,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
District of Columbia,1,0,0.29476489487752316,1.1098302847528556,0,1.9919592589543773,7.5,0,0.29,1.11,0,2,8,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
District of Columbia,2,0,0.3617224631787085,1.6212933882565073,0,2.4444444444444446,10.956360246225945,0,0.36,1.62,0,2,10,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
District of Columbia,0,NA,NA,NA,6.134794947511827e-5,3.343860785773607e-4,0.00112021953385228,NA,NA,NA,6.1e-5,3.3e-4,0.0011,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
District of Columbia,1,NA,NA,NA,2.342535066200307e-5,3.2428782074615e-4,0.00130325509098562,NA,NA,NA,2.3e-5,3.2e-4,0.0013,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
District of Columbia,2,NA,NA,NA,1.1361845529445768e-4,4.560356522549145e-4,0.00135045998232825,NA,NA,NA,1.1e-4,4.6e-4,0.0014,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Florida,0,0.5154555880606928,0.8010234204122052,1.173639489025485,116.23931751594368,180.63712540844193,264.66499999999996,0.52,0.8,1.17,120,180,260,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Florida,1,0.4455907277573806,0.8678112764227314,1.400990966837017,100.48423818785318,195.69831589863517,315.9345588702047,0.45,0.87,1.4,100,200,320,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Florida,2,0.405504358536252,0.938621874862163,1.671060501862892,91.44444444444444,211.66666666666663,376.8373779692569,0.41,0.94,1.67,90,210,380,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Florida,0,NA,NA,NA,0.00237032275140731,0.00383459730595487,0.0052032193554899,NA,NA,NA,0.0024,0.0038,0.0052,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Florida,1,NA,NA,NA,0.00243637546730971,0.00433586043781818,0.00632558626821232,NA,NA,NA,0.0024,0.0043,0.0063,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Florida,2,NA,NA,NA,0.00219765379696149,0.0042513206858702,0.00804295566507071,NA,NA,NA,0.0022,0.0043,0.008,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Georgia,0,0.10734035580269764,0.24990994327928892,0.5038046990453524,11.77777777777778,27.421036146095418,55.279300542501566,0.11,0.25,0.5,10,30,60,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Georgia,1,0.10227713147238168,0.27999630546647064,0.6157969378895177,11.22222222222222,30.72222222222222,67.56749999999994,0.1,0.28,0.62,10,30,70,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Georgia,2,0.082024234151118,0.3129072636135242,0.7746733225383365,9,34.333333333333336,85,0.08,0.31,0.77,9,30,90,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Georgia,0,NA,NA,NA,6.337105363689647e-4,0.00119776029957474,0.0019694894675228,NA,NA,NA,6.3e-4,0.0012,0.002,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Georgia,1,NA,NA,NA,5.165094481026797e-4,0.00128525861062653,0.00273885221709824,NA,NA,NA,5.2e-4,0.0013,0.0027,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Georgia,2,NA,NA,NA,5.894881361318835e-4,0.00143133388799087,0.00311803355479574,NA,NA,NA,5.9e-4,0.0014,0.0031,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Hawaii,0,0.13690652628528793,0.5018334844807995,1.1305697360102696,1.9096885991745385,7,15.770147662146847,0.14,0.5,1.13,2,7,20,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Hawaii,1,0.09864956674646716,0.486580465129796,1.3753467429467112,1.3760480091114584,6.7872379210257545,19.18450541535223,0.1,0.49,1.38,1,7,20,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Hawaii,2,0.1164250566749212,0.4902659958521649,1.5771909512253697,1.6239956517999743,6.83864683624247,22,0.12,0.49,1.58,2,7,20,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Hawaii,0,NA,NA,NA,0.00200032519613504,0.00371999414507079,0.00537473204525853,NA,NA,NA,0.002,0.0037,0.0054,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
