week_ending_date,location,location_name,target,target_data_type,count_value,rate_value
2024-12-21,13,Georgia,wk inc rsv hosp,hosp,438,3.99
2024-12-21,15,Hawaii,wk inc rsv hosp,hosp,21,1.51
2024-12-21,19,Iowa,wk inc rsv hosp,hosp,41,1.28
2024-12-21,16,Idaho,wk inc rsv hosp,hosp,28,1.43
2024-12-21,17,Illinois,wk inc rsv hosp,hosp,486,3.88
2024-12-21,18,Indiana,wk inc rsv hosp,hosp,206,3
2024-12-21,20,Kansas,wk inc rsv hosp,hosp,46,1.58
2024-12-21,21,Kentucky,wk inc rsv hosp,hosp,181,4.01
2024-12-21,22,Louisiana,wk inc rsv hosp,hosp,177,3.88
2024-12-21,25,Massachusetts,wk inc rsv hosp,hosp,244,3.49
2024-12-21,24,Maryland,wk inc rsv hosp,hosp,199,3.24
2024-12-21,23,Maine,wk inc rsv hosp,hosp,7,0.5
2024-12-21,26,Michigan,wk inc rsv hosp,hosp,224,2.23
2024-12-21,27,Minnesota,wk inc rsv hosp,hosp,109,1.9
2024-12-21,29,Missouri,wk inc rsv hosp,hosp,96,1.55
2024-12-21,28,Mississippi,wk inc rsv hosp,hosp,84,2.87
2024-12-21,30,Montana,wk inc rsv hosp,hosp,4,0.35
2024-12-21,37,North Carolina,wk inc rsv hosp,hosp,388,3.61
2024-12-21,38,North Dakota,wk inc rsv hosp,hosp,4,0.51
2024-12-21,31,Nebraska,wk inc rsv hosp,hosp,39,1.98
2024-12-21,33,New Hampshire,wk inc rsv hosp,hosp,39,2.78
2024-12-21,34,New Jersey,wk inc rsv hosp,hosp,454,4.89
2024-12-21,35,New Mexico,wk inc rsv hosp,hosp,18,0.86
2024-12-21,32,Nevada,wk inc rsv hosp,hosp,62,1.95
2024-12-21,36,New York,wk inc rsv hosp,hosp,990,5.06
2024-12-21,39,Ohio,wk inc rsv hosp,hosp,560,4.75
2024-12-21,40,Oklahoma,wk inc rsv hosp,hosp,58,1.44
2024-12-21,41,Oregon,wk inc rsv hosp,hosp,34,0.8
2024-12-21,42,Pennsylvania,wk inc rsv hosp,hosp,992,7.65
2024-12-21,72,Puerto Rico,wk inc rsv hosp,hosp,436,13.27
2024-12-21,44,Rhode Island,wk inc rsv hosp,hosp,61,5.58
2024-12-21,45,South Carolina,wk inc rsv hosp,hosp,217,4.07
2024-12-21,46,South Dakota,wk inc rsv hosp,hosp,1,0.11
2024-12-21,47,Tennessee,wk inc rsv hosp,hosp,238,3.35
2024-12-21,48,Texas,wk inc rsv hosp,hosp,978,3.22
2024-12-21,US,United States,wk inc rsv hosp,hosp,10651,3.16
2024-12-21,49,Utah,wk inc rsv hosp,hosp,33,0.97
2024-12-21,51,Virginia,wk inc rsv hosp,hosp,199,2.31
2024-12-21,50,Vermont,wk inc rsv hosp,hosp,4,0.62
2024-12-21,53,Washington,wk inc rsv hosp,hosp,146,1.88
2024-12-21,55,Wisconsin,wk inc rsv hosp,hosp,78,1.32
2024-12-21,54,West Virginia,wk inc rsv hosp,hosp,53,2.99
2024-12-21,56,Wyoming,wk inc rsv hosp,hosp,16,2.75
2024-12-28,02,Alaska,wk inc rsv hosp,hosp,28,3.93
2024-12-28,01,Alabama,wk inc rsv hosp,hosp,171,3.35
2024-12-28,05,Arkansas,wk inc rsv hosp,hosp,82,2.68
2024-12-28,04,Arizona,wk inc rsv hosp,hosp,163,2.2
2024-12-28,06,California,wk inc rsv hosp,hosp,748,1.93
2024-12-28,08,Colorado,wk inc rsv hosp,hosp,137,2.34
2024-12-28,09,Connecticut,wk inc rsv hosp,hosp,155,4.29
2024-12-28,11,District of Columbia,wk inc rsv hosp,hosp,9,1.33
2024-12-28,10,Delaware,wk inc rsv hosp,hosp,104,10.11
2024-12-28,12,Florida,wk inc rsv hosp,hosp,616,2.73
2024-12-28,13,Georgia,wk inc rsv hosp,hosp,426,3.88
2024-12-28,15,Hawaii,wk inc rsv hosp,hosp,16,1.15
2024-12-28,19,Iowa,wk inc rsv hosp,hosp,49,1.53
2024-12-28,16,Idaho,wk inc rsv hosp,hosp,30,1.53
